date,butter,cheddar_cheese,variety_cheese,process_cheese,whey_powder
Jan-83,36925.00,36211.00,11873.00,5484.00,10170.00
Feb-83,37622.00,37139.00,11896.00,5721.00,9491.00
Mar-83,37422.00,37403.00,10523.00,6367.00,9723.00
Apr-83,35204.00,37598.00,11845.00,4907.00,9517.00
May-83,36885.00,38755.00,10866.00,5545.00,9891.00
Jun-83,36728.00,37605.00,10675.00,6177.00,10611.00
Jul-83,38116.00,39159.00,11050.00,5180.00,11915.00
Aug-83,37472.00,40774.00,11541.00,5964.00,11548.00
Sep-83,37671.00,41346.00,11687.00,8462.00,11589.00
Oct-83,37038.00,40786.00,11719.00,7621.00,12506.00
Nov-83,35115.00,40015.00,11998.00,7677.00,12009.00
Dec-83,30276.00,38042.00,12423.00,8219.00,10134.00
Jan-84,27744.00,40383.00,11708.00,5026.00,8484.00
Feb-84,28817.00,39071.00,11938.00,6326.00,11484.00
Mar-84,23348.00,39164.00,11902.00,7088.00,16673.00
Apr-84,24391.00,38423.00,12064.00,7082.00,11135.00
May-84,27342.00,39811.00,12246.00,6770.00,13087.00
Jun-84,30872.00,40786.00,11161.00,7464.00,9746.00
Jul-84,33702.00,45014.00,11863.00,7068.00,8976.00
Aug-84,37450.00,42362.00,12434.00,7201.00,8665.00
Sep-84,38355.00,38869.00,11359.00,7628.00,8139.00
Oct-84,36342.00,39004.00,11581.00,7022.00,9282.00
Nov-84,34771.00,38225.00,12573.00,7423.00,8278.00
Dec-84,32061.00,39786.00,13019.00,8879.00,6578.00
Jan-85,28469.00,41127.00,12297.00,8499.00,5922.00
Feb-85,29250.00,38845.00,13736.00,7705.00,1889.00
Mar-85,21599.00,37596.00,14284.00,8310.00,1489.00
Apr-85,24828.00,40504.00,13533.00,6676.00,1701.00
May-85,28380.00,38209.00,13046.00,7838.00,1988.00
Jun-85,29449.00,36176.00,12957.00,7209.00,1942.00
Jul-85,30836.00,37451.00,12807.00,7066.00,2707.00
Aug-85,29301.00,39427.00,12249.00,7459.00,2397.00
Sep-85,28797.00,39064.00,12023.00,7261.00,1520.00
Oct-85,27554.00,38841.00,12589.00,8126.00,1871.00
Nov-85,25618.00,37573.00,13092.00,9070.00,1948.00
Dec-85,23516.00,35024.00,13873.00,10092.00,2588.00
Jan-86,19758.00,38720.00,13216.00,9389.00,3202.00
Feb-86,20251.00,39489.00,12936.00,7362.00,3578.00
Mar-86,18929.00,39546.00,11513.00,7771.00,4043.00
Apr-86,20557.00,40340.00,13263.00,6913.00,4676.00
May-86,19193.00,37909.00,13025.00,7945.00,4969.00
Jun-86,22410.00,39033.00,12805.00,8199.00,5569.00
Jul-86,21928.00,39970.00,11583.00,7843.00,5646.00
Aug-86,21266.00,39477.00,11491.00,8215.00,5936.00
Sep-86,21587.00,38102.00,11346.00,8798.00,4996.00
Oct-86,20609.00,36998.00,11443.00,7856.00,4443.00
Nov-86,19127.00,34375.00,11141.00,7112.00,4676.00
Dec-86,18528.00,32808.00,10131.00,9933.00,3103.00
Jan-87,18456.00,33929.00,10278.00,9647.00,2481.00
Feb-87,18677.00,34210.00,10446.00,8861.00,2950.00
Mar-87,18595.00,33155.00,9595.00,8254.00,2858.00
Apr-87,18419.00,33987.00,11304.00,8031.00,2696.00
May-87,19351.00,34505.00,11962.00,9327.00,2920.00
Jun-87,19038.00,35564.00,13827.00,9148.00,3160.00
Jul-87,18823.00,36243.00,14688.00,8943.00,2603.00
Aug-87,18248.00,37990.00,13753.00,9430.00,3250.00
Sep-87,16873.00,37640.00,13715.00,9034.00,4316.00
Oct-87,15061.00,37799.00,13013.00,9002.00,2784.00
Nov-87,14310.00,35929.00,12519.00,8762.00,2468.00
Dec-87,12054.00,35007.00,13355.00,8891.00,2449.00
Jan-88,8919.00,34511.00,12178.00,8878.00,2493.00
Feb-88,9378.00,35353.00,12751.00,7555.00,1932.00
Mar-88,8977.00,35300.00,12980.00,9790.00,2567.00
Apr-88,10823.00,33915.00,11341.00,9861.00,2322.00
May-88,13443.00,35880.00,11959.00,8670.00,2319.00
Jun-88,14827.00,36569.00,11827.00,8001.00,2374.00
Jul-88,17653.00,36524.00,13143.00,8363.00,1989.00
Aug-88,18411.00,36699.00,12339.00,7414.00,1930.00
Sep-88,17737.00,38712.00,11564.00,8674.00,2731.00
Oct-88,18405.00,37719.00,14035.00,8388.00,2725.00
Nov-88,17173.00,35253.00,12930.00,7040.00,2805.00
Dec-88,15815.00,34548.00,14435.00,9413.00,2857.00
Jan-89,13876.00,35152.00,12738.00,7960.00,3512.00
Feb-89,16799.00,31892.00,11433.00,6492.00,4104.00
Mar-89,17602.00,32379.00,11402.00,6851.00,3517.00
Apr-89,19768.00,30645.00,10381.00,7300.00,4218.00
May-89,20703.00,31046.00,10231.00,7733.00,3858.00
Jun-89,22326.00,31311.00,11206.00,7095.00,3870.00
Jul-89,23834.00,31000.00,10953.00,6349.00,3832.00
Aug-89,24337.00,33176.00,10318.00,7736.00,5144.00
Sep-89,19228.00,32774.00,9759.00,7906.00,4526.00
Oct-89,19348.00,32506.00,9737.00,7758.00,6196.00
Nov-89,18688.00,29538.00,9800.00,6414.00,6164.00
Dec-89,16403.00,27882.00,8545.00,6302.00,5393.00
Jan-90,14045.00,27352.00,9314.00,5788.00,5688.00
Feb-90,15041.00,27575.00,12658.00,6318.00,6824.00
Mar-90,17331.00,32662.00,10692.00,6662.00,5854.00
Apr-90,19206.00,32004.00,11192.00,7732.00,5154.00
May-90,21353.00,31192.00,10767.00,7821.00,5794.00
Jun-90,23801.00,31551.00,11152.00,6942.00,6274.00
Jul-90,26031.00,32614.00,10735.00,7225.00,5991.00
Aug-90,24814.00,30579.00,10354.00,7653.00,7406.00
Sep-90,24897.00,32505.00,10730.00,8500.00,5282.00
Oct-90,24027.00,32094.00,10417.00,6912.00,5727.00
Nov-90,22859.00,30048.00,10647.00,6692.00,5204.00
Dec-90,20252.00,31164.00,10707.00,6938.00,4781.00
Jan-91,18746.00,29377.00,10576.00,5757.00,5134.00
Feb-91,22941.00,30474.00,10087.00,6712.00,4613.00
Mar-91,22519.00,30194.00,11040.00,8234.00,5075.00
Apr-91,21928.00,28075.00,10940.00,9519.00,6039.00
May-91,22956.00,30210.00,10740.00,9804.00,6549.00
Jun-91,23856.00,31135.00,9968.00,7412.00,6978.00
Jul-91,23147.00,30896.00,11248.00,6602.00,5616.00
Aug-91,22084.00,31061.00,10756.00,8553.00,4445.00
Sep-91,20929.00,33452.00,11186.00,8943.00,5021.00
Oct-91,19087.00,33115.00,10090.00,7419.00,5896.00
Nov-91,16784.00,33466.00,11917.00,7169.00,4726.00
Dec-91,15930.00,33292.00,11315.00,6772.00,3576.00
Jan-92,15584.00,32273.00,9796.00,6281.00,3397.00
Feb-92,20582.00,32631.00,12675.00,5787.00,4519.00
Mar-92,20783.00,35139.00,12401.00,5355.00,4660.00
Apr-92,23269.00,36480.00,13082.00,5412.00,5203.00
May-92,24677.00,35269.00,12334.00,5398.00,4306.00
Jun-92,24435.00,33527.00,12020.00,6925.00,4551.00
Jul-92,24431.00,33084.00,11605.00,5698.00,4063.00
Aug-92,23317.00,35503.00,11592.00,5296.00,3866.00
Sep-92,19319.00,34515.00,12246.00,6874.00,4225.00
Oct-92,17641.00,33341.00,11731.00,6754.00,4350.00
Nov-92,16899.00,31963.00,11781.00,7651.00,5020.00
Dec-92,15003.00,33563.00,11393.00,6519.00,5064.00
Jan-93,10217.00,30913.00,10181.00,5766.00,4880.00
Feb-93,13274.00,31332.00,10942.00,5727.00,3850.00
Mar-93,15421.00,32096.00,11261.00,6298.00,3786.00
Apr-93,15941.00,30401.00,9780.00,8993.00,4001.00
May-93,16192.00,29117.00,9892.00,6133.00,4540.00
Jun-93,14293.00,29618.00,11934.00,6647.00,4318.00
Jul-93,14516.00,29917.00,15379.00,3999.00,3610.00
Aug-93,13466.00,30520.00,12593.00,6306.00,3569.00
Sep-93,11301.00,29805.00,12667.00,7461.00,3414.00
Oct-93,9668.00,29683.00,11061.00,7367.00,4132.00
Nov-93,8783.00,29315.00,11448.00,6776.00,3736.00
Dec-93,8548.00,27348.00,12040.00,7585.00,3589.00
Jan-94,5469.00,26843.00,10902.00,8274.00,3993.00
Feb-94,8117.00,29512.00,11856.00,7156.00,6214.00
Mar-94,10418.00,30664.00,13378.00,6765.00,6711.00
Apr-94,12274.00,29979.00,11802.00,6449.00,6307.00
May-94,15491.00,29831.00,13177.00,5951.00,6338.00
Jun-94,16629.00,30862.00,12433.00,5938.00,5537.00
Jul-94,16874.00,30877.00,11223.00,7319.00,5153.00
Aug-94,13929.00,33092.00,11338.00,6261.00,4696.00
Sep-94,12444.00,32078.00,11584.00,6796.00,4381.00
Oct-94,11907.00,32630.00,11544.00,6940.00,4068.00
Nov-94,11345.00,32372.00,10421.00,5544.00,3245.00
Dec-94,11027.00,30691.00,11541.00,5500.00,2933.00
Jan-95,8369.00,30579.00,9642.00,5538.00,3431.00
Feb-95,13581.00,32379.00,10816.00,5211.00,4047.00
Mar-95,16370.00,36501.00,10982.00,4779.00,3796.00
Apr-95,17954.00,34914.00,10585.00,4764.00,5115.00
May-95,18804.00,30336.00,10639.00,7191.00,5982.00
Jun-95,20508.00,32197.00,10940.00,4189.00,5022.00
Jul-95,20145.00,30615.00,12218.00,4248.00,4878.00
