Date,Barley,Cattle
Jan-85,121.38,70.61
Feb-85,119.64,70.28
Mar-85,122.7,69.31
Apr-85,125.48,70.67
May-85,118.85,70.77
Jun-85,119.23,70.38
Jul-85,114.3,66.51
Aug-85,104.69,64.89
Sep-85,93.46,66.12
Oct-85,87.7,68.41
Nov-85,88.44,70.66
Dec-85,88.45,70.19
Jan-86,84.5,67.36
Feb-86,84.71,71.51
Mar-86,83.31,70.9
Apr-86,78.72,69.48
May-86,82.74,70.38
Jun-86,88.32,70.06
Jul-86,87.62,72.16
Aug-86,79.83,72.03
Sep-86,66.46,73.09
Oct-86,67.32,74.65
Nov-86,65.72,74.36
Dec-86,65.84,73.97
Jan-87,67.46,74.17
Feb-87,64.79,74.61
Mar-87,64.66,75.43
Apr-87,64.86,78.23
May-87,65.97,77.57
Jun-87,64.65,80.45
Jul-87,58.08,79.59
Aug-87,53.93,79.51
Sep-87,49.98,81.13
Oct-87,49.1,80.57
Nov-87,49.92,78.39
Dec-87,50.88,77.31
Jan-88,52.15,79.4
Feb-88,52.11,76.53
Mar-88,51.25,78.71
Apr-88,53.5,80.75
May-88,64.7,80.8
Jun-88,81.75,78.01
Jul-88,89.92,77.97
Aug-88,95.99,75.8
Sep-88,100.5,79.3
Oct-88,102.62,77.1
Nov-88,110.96,77.37
Dec-88,115.04,79.49
Jan-89,121.26,76.63
Feb-89,122.29,80.34
Mar-89,119.14,80.12
Apr-89,115.29,77.1
May-89,111.24,77.19
Jun-89,107.22,76.09
Jul-89,92.92,77.53
Aug-89,89.01,74.72
Sep-89,82.73,77.83
Oct-89,84.79,78.67
Nov-89,89.94,78.17
Dec-89,91.91,80.62
Jan-90,94.61,77.05
Feb-90,94,78.66
Mar-90,93.52,79.74
Apr-90,92.3,77.75
May-90,93.26,76.98
Jun-90,93.16,80.13
Jul-90,86.36,81.39
Aug-90,82.55,81.21
Sep-90,71.3,80.17
Oct-90,69.8,82.54
Nov-90,72.66,78.75
Dec-90,73.43,83.05
Jan-91,78.15,82.38
Feb-91,77.13,79.71
Mar-91,78.09,83.69
Apr-91,77.51,82.56
May-91,77.89,82.23
Jun-91,78.41,82
Jul-91,71.99,81.18
Aug-91,64.47,79.37
Sep-91,62.37,79.21
Oct-91,63.17,78.35
Nov-91,64.04,72.94
Dec-91,66.49,65.29
Jan-92,66.98,65.88
Feb-92,69.53,67.27
Mar-92,68.97,71.32
Apr-92,69.42,74.04
May-92,71.41,74.66
Jun-92,73.03,72.51
Jul-92,70.43,73.93
Aug-92,68.79,73.33
Sep-92,65.87,76.39
Oct-92,68.03,74.22
Nov-92,68.11,73.97
Dec-92,72.55,71.61
Jan-93,74.84,79.91
Feb-93,74.94,75.7
Mar-93,75.62,78.25
Apr-93,74.2,73.09
May-93,75.1,77.59
Jun-93,73.72,75.85
Jul-93,70.12,79.72
Aug-93,66.78,84.49
Sep-93,56.16,89.31
Oct-93,52.26,84.22
Nov-93,60.38,75.15
Dec-93,65.6,69.55
Jan-94,71.97,74.35
Feb-94,73.02,73.67
Mar-94,69.9,77.66
Apr-94,66.99,76.46
May-94,64.8,74.69
Jun-94,65.26,72.06
Jul-94,60.51,74.15
Aug-94,66.33,76.56
Sep-94,72.79,74.21
Oct-94,80.06,70.73
